,Unnamed: 0,date,name,team,opposition,venue,batting_innings,innings_played,previous_average,previous_strike_rate,previous_centuries,previous_fifties,previous_zeros,runs,balls,not_out,previous_thirties,home
0,0,2006-08-28,1,1,2,1,,0,0.0,0.0,0,0,0,53,,False,0,1
1,1,2006-08-28,2,1,2,1,,0,0.0,0.0,0,0,0,14,,False,0,1
2,2,2006-08-28,3,1,2,1,,0,0.0,0.0,0,0,0,0,,False,0,1
3,3,2006-08-28,4,1,2,1,,0,0.0,0.0,0,0,0,0,,False,0,1
4,4,2006-08-28,5,1,2,1,,0,0.0,0.0,0,0,0,2,,False,0,1
5,5,2006-08-28,6,1,2,1,,0,0.0,0.0,0,0,0,27,,False,0,1
6,6,2006-08-28,7,1,2,1,,0,0.0,0.0,0,0,0,24,,True,0,1
7,7,2006-08-28,8,1,2,1,,0,0.0,0.0,0,0,0,13,,False,0,1
8,8,2006-08-28,9,1,2,1,,0,0.0,0.0,0,0,0,0,,True,0,1
9,9,2006-08-28,10,2,1,1,,0,0.0,0.0,0,0,0,16,,False,0,0
10,10,2006-08-28,11,2,1,1,,0,0.0,0.0,0,0,0,46,,False,0,0
11,11,2006-08-28,12,2,1,1,,0,0.0,0.0,0,0,0,0,,False,0,0
12,12,2006-08-28,13,2,1,1,,0,0.0,0.0,0,0,0,28,,False,0,0
13,13,2006-08-28,14,2,1,1,,0,0.0,0.0,0,0,0,20,,False,0,0
14,14,2006-08-28,15,2,1,1,,0,0.0,0.0,0,0,0,11,,True,0,0
15,15,2006-08-28,16,2,1,1,,0,0.0,0.0,0,0,0,17,,True,0,0
16,16,2005-02-17,17,3,4,2,,0,0.0,0.0,0,0,0,1,,False,0,0
17,17,2005-02-17,18,3,4,2,,0,0.0,0.0,0,0,0,7,,False,0,0
18,18,2005-02-17,19,3,4,2,,0,0.0,0.0,0,0,0,32,,False,0,0
19,19,2005-02-17,20,3,4,2,,0,0.0,0.0,0,0,0,98,,True,0,0
20,20,2005-02-17,21,3,4,2,,0,0.0,0.0,0,0,0,3,,False,0,0
21,21,2005-02-17,22,3,4,2,,0,0.0,0.0,0,0,0,30,,False,0,0
22,22,2005-02-17,23,3,4,2,,0,0.0,0.0,0,0,0,31,,True,0,0
23,23,2005-02-17,24,4,3,2,,0,0.0,0.0,0,0,0,36,,False,0,1
24,24,2005-02-17,25,4,3,2,,0,0.0,0.0,0,0,0,18,,False,0,1
25,25,2005-02-17,26,4,3,2,,0,0.0,0.0,0,0,0,0,,False,0,1
26,26,2005-02-17,27,4,3,2,,0,0.0,0.0,0,0,0,66,,False,0,1
27,27,2005-02-17,28,4,3,2,,0,0.0,0.0,0,0,0,9,,False,0,1
28,28,2005-02-17,29,4,3,2,,0,0.0,0.0,0,0,0,1,,False,0,1
29,29,2005-02-17,30,4,3,2,,0,0.0,0.0,0,0,0,8,,False,0,1
30,30,2005-02-17,31,4,3,2,,0,0.0,0.0,0,0,0,7,,False,0,1
31,31,2005-02-17,32,4,3,2,,0,0.0,0.0,0,0,0,18,,False,0,1
32,32,2005-02-17,33,4,3,2,,0,0.0,0.0,0,0,0,5,,True,0,1
33,33,2005-02-17,34,4,3,2,,0,0.0,0.0,0,0,0,0,,False,0,1
34,34,2006-12-22,24,4,5,3,,1,36.0,144.0,0,0,0,39,,False,1,1
35,35,2006-12-22,25,4,5,3,,1,18.0,138.4615384615385,0,0,0,38,,False,0,1
36,36,2006-12-22,35,4,5,3,,0,0.0,0.0,0,0,0,18,,False,0,1
37,37,2006-12-22,36,4,5,3,,0,0.0,0.0,0,0,0,21,,False,0,1
38,38,2006-12-22,37,4,5,3,,0,0.0,0.0,0,0,0,19,,False,0,1
39,39,2006-12-22,38,4,5,3,,0,0.0,0.0,0,0,0,1,,False,0,1
40,40,2006-12-22,39,4,5,3,,0,0.0,0.0,0,0,0,5,,False,0,1
41,41,2006-12-22,31,4,5,3,,1,7.0,100.0,0,0,0,6,,True,0,1
42,42,2006-12-22,40,4,5,3,,0,0.0,0.0,0,0,0,0,,False,0,1
43,43,2006-12-22,41,4,5,3,,0,0.0,0.0,0,0,0,3,,True,0,1
44,44,2006-12-22,42,5,4,3,,0,0.0,0.0,0,0,0,6,,False,0,0
45,45,2006-12-22,43,5,4,3,,0,0.0,0.0,0,0,0,51,,True,0,0
46,46,2006-12-22,44,5,4,3,,0,0.0,0.0,0,0,0,2,,True,0,0
47,47,2006-01-09,45,3,6,4,,0,0.0,0.0,0,0,0,17,,False,0,0
48,48,2006-01-09,21,3,6,4,,1,3.0,60.0,0,0,0,96,,False,0,0
49,49,2006-01-09,20,3,6,4,,1,0.0,178.1818181818182,0,1,0,27,,False,0,0
50,50,2006-01-09,19,3,6,4,,1,32.0,213.3333333333333,0,0,0,54,,True,1,0
51,51,2006-01-09,18,3,6,4,,1,7.0,175.0,0,0,0,0,,True,0,0
52,52,2006-01-09,46,6,3,4,,0,0.0,0.0,0,0,0,22,,False,0,0
53,53,2006-01-09,47,6,3,4,,0,0.0,0.0,0,0,0,1,,False,0,0
54,54,2006-01-09,48,6,3,4,,0,0.0,0.0,0,0,0,0,,False,0,0
55,55,2006-01-09,49,6,3,4,,0,0.0,0.0,0,0,0,29,,False,0,0
56,56,2006-01-09,50,6,3,4,,0,0.0,0.0,0,0,0,24,,False,0,0
57,57,2006-01-09,51,6,3,4,,0,0.0,0.0,0,0,0,15,,False,0,0
58,58,2006-01-09,52,6,3,4,,0,0.0,0.0,0,0,0,11,,False,0,0
59,59,2006-01-09,53,6,3,4,,0,0.0,0.0,0,0,0,6,,True,0,0
60,60,2006-01-09,54,6,3,4,,0,0.0,0.0,0,0,0,2,,False,0,0
61,61,2006-01-09,55,6,3,4,,0,0.0,0.0,0,0,0,3,,False,0,0
62,62,2006-01-09,56,6,3,4,,0,0.0,0.0,0,0,0,0,,False,0,0
63,63,2006-02-24,46,6,3,5,,1,22.0,84.61538461538461,0,0,0,89,,True,0,1
64,64,2006-02-24,57,6,3,5,,0,0.0,0.0,0,0,0,23,,False,0,1
65,65,2006-02-24,48,6,3,5,,1,0.0,0.0,0,0,1,56,,False,0,1
66,66,2006-02-24,50,6,3,5,,1,24.0,133.3333333333333,0,0,0,2,,False,0,1
67,67,2006-02-24,58,6,3,5,,0,0.0,0.0,0,0,0,14,,False,0,1
68,68,2006-02-24,17,3,6,5,,1,1.0,25.0,0,0,0,1,,False,0,0
69,69,2006-02-24,22,3,6,5,,1,30.0,120.0,0,0,0,39,,False,1,0
70,70,2006-02-24,20,3,6,5,,2,125.0,160.1435406698565,0,1,0,6,,False,0,0
71,71,2006-02-24,21,3,6,5,,2,49.5,111.3559322033898,0,1,0,17,,False,0,0
72,72,2006-02-24,18,3,6,5,,2,7.0,87.5,0,0,1,37,,False,0,0
73,73,2006-02-24,59,3,6,5,,0,0.0,0.0,0,0,0,4,,False,0,0
74,74,2006-02-24,60,3,6,5,,0,0.0,0.0,0,0,0,41,,False,0,0
75,75,2006-02-24,61,3,6,5,,0,0.0,0.0,0,0,0,43,,True,0,0
76,76,2006-02-24,62,3,6,5,,0,0.0,0.0,0,0,0,3,,True,0,0
77,77,2006-02-16,63,7,4,2,,0,0.0,0.0,0,0,0,10,,False,0,0
78,78,2006-02-16,64,7,4,2,,0,0.0,0.0,0,0,0,26,,False,0,0
79,79,2006-02-16,65,7,4,2,,0,0.0,0.0,0,0,0,4,,False,0,0
80,80,2006-02-16,66,7,4,2,,0,0.0,0.0,0,0,0,8,,True,0,0
81,81,2006-02-16,67,7,4,2,,0,0.0,0.0,0,0,0,14,,True,0,0
82,82,2006-02-16,68,7,4,2,,0,0.0,0.0,0,0,0,26,,False,0,0
83,83,2006-02-16,69,7,4,2,,0,0.0,0.0,0,0,0,19,,True,0,0
84,84,2006-02-16,70,7,4,2,,0,0.0,0.0,0,0,0,9,,False,0,0
85,85,2006-02-16,71,4,7,2,,0,0.0,0.0,0,0,0,42,,False,0,1
86,86,2006-02-16,25,4,7,2,,2,28.0,148.3974358974359,0,0,0,6,,False,1,1
87,87,2006-02-16,37,4,7,2,,1,19.0,135.7142857142857,0,0,0,5,,False,0,1
88,88,2006-02-16,27,4,7,2,,1,66.0,169.2307692307692,0,1,0,19,,False,0,1
89,89,2006-02-16,29,4,7,2,,1,1.0,25.0,0,0,0,2,,False,0,1
90,90,2006-02-16,72,4,7,2,,0,0.0,0.0,0,0,0,16,,False,0,1
91,91,2006-02-16,30,4,7,2,,1,8.0,114.2857142857143,0,0,0,1,,False,0,1
92,92,2006-02-16,24,4,7,2,,2,37.5,160.6363636363636,0,0,0,4,,False,2,1
93,93,2006-02-16,35,4,7,2,,1,18.0,105.8823529411765,0,0,0,13,,True,0,1
94,94,2006-02-16,40,4,7,2,,1,0.0,0.0,0,0,1,8,,True,0,1
95,95,2005-06-13,1,1,3,6,,1,53.0,143.2432432432433,0,1,0,41,,False,0,1
