name,overall_runs,overall_innings,overall_balls,strike_rate,overall_notout,overall_average,zeros,thirties,fifties,centries,home_innings,home_runs,home_not_out_count,home_average,total_home_ball_faced,home_strike_rate,home_zeros,home_30s,home_50s,home_100s,form_innings,form_runs,recent_zeros,recent_30s,recent_50s,recent_100s,recent_not_outs,form_average,total_recent_ball_faced,form_strike_rate,away_innings,away_runs,away_not_out_count,away_average,total_away_ball_faced,away_strike_rate,away_zeros,away_30s,away_50s,away_100s
JE Root,106,4,96,110.41666666666669,1,35.333333333333336,1,1,1,0,1.0,47.0,0.0,47.0,43.0,109.30232558139535,0.0,1.0,0.0,0.0,4.0,106.0,1.0,1.0,1.0,0.0,1.0,35.333333333333336,96.0,110.41666666666667,3.0,59.0,1.0,29.5,53.0,111.32075471698113,1.0,0.0,1.0,0.0
MJ Swepson,12,1,5,240.0,1,inf,0,0,0,0,1.0,12.0,1.0,0.0,5.0,240.0,0.0,0.0,0.0,0.0,1.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,240.0,,,,,,,,,,
KJ Coetzer,351,13,287,122.29965156794424,0,27.0,1,2,3,0,,,,,,,,,,,10.0,273.0,1.0,2.0,2.0,0.0,0.0,27.3,231.0,118.18181818181819,13.0,351.0,0.0,27.0,287.0,122.29965156794425,1.0,2.0,3.0,0.0
Mehran Khan,38,4,34,111.76470588235294,0,9.5,1,0,0,0,,,,,,,,,,,4.0,38.0,1.0,0.0,0.0,0.0,0.0,9.5,34.0,111.76470588235294,4.0,38.0,0.0,9.5,34.0,111.76470588235294,1.0,0.0,0.0,0.0
Soumya Sarkar,233,12,165,141.21212121212122,3,25.88888888888889,2,2,2,0,4.0,86.0,2.0,43.0,58.0,148.27586206896552,1.0,0.0,1.0,0.0,10.0,229.0,1.0,2.0,2.0,0.0,3.0,32.714285714285715,157.0,145.85987261146497,8.0,147.0,1.0,21.0,107.0,137.38317757009347,1.0,2.0,1.0,0.0
E Chigumbura,70,4,57,122.80701754385964,0,17.5,0,0,0,0,,,,,,,,,,,4.0,70.0,0.0,0.0,0.0,0.0,0.0,17.5,57.0,122.80701754385964,4.0,70.0,0.0,17.5,57.0,122.80701754385964,0.0,0.0,0.0,0.0
E Lewis,352,14,256,137.5,1,27.07692307692308,2,3,2,0,7.0,166.0,1.0,27.666666666666668,106.0,156.60377358490567,0.0,1.0,1.0,0.0,10.0,274.0,0.0,3.0,1.0,0.0,1.0,30.444444444444443,196.0,139.79591836734693,7.0,186.0,0.0,26.571428571428573,150.0,124.0,2.0,2.0,1.0,0.0
H Klaasen,156,10,124,125.80645161290325,3,22.285714285714285,1,0,1,0,7.0,127.0,2.0,25.4,104.0,122.11538461538461,0.0,0.0,1.0,0.0,10.0,156.0,1.0,0.0,1.0,0.0,3.0,22.285714285714285,124.0,125.80645161290323,3.0,29.0,1.0,14.5,20.0,145.0,1.0,0.0,0.0,0.0
Shaiman Anwar,183,5,112,163.39285714285714,1,45.75,0,1,2,0,5.0,183.0,1.0,45.75,112.0,163.39285714285714,0.0,1.0,2.0,0.0,5.0,183.0,0.0,1.0,2.0,0.0,1.0,45.75,112.0,163.39285714285714,,,,,,,,,,
SJ Myburgh,83,4,94,88.29787234042553,0,20.75,1,1,0,0,2.0,25.0,0.0,12.5,28.0,89.28571428571429,1.0,0.0,0.0,0.0,4.0,83.0,1.0,1.0,0.0,0.0,0.0,20.75,94.0,88.29787234042553,2.0,58.0,0.0,29.0,66.0,87.87878787878788,0.0,1.0,0.0,0.0
MJ Santner,165,19,136,121.32352941176472,9,16.5,2,1,0,0,15.0,125.0,7.0,15.625,109.0,114.6788990825688,1.0,1.0,0.0,0.0,10.0,82.0,1.0,1.0,0.0,0.0,4.0,13.666666666666666,69.0,118.84057971014492,4.0,40.0,2.0,20.0,27.0,148.14814814814815,1.0,0.0,0.0,0.0
BE Hendricks,3,2,7,42.85714285714285,0,1.5,1,0,0,0,2.0,3.0,0.0,1.5,7.0,42.857142857142854,1.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,1.5,7.0,42.857142857142854,,,,,,,,,,
