,name,overall_runs,overall_innings,overall_balls,strike_rate,overall_notout,overall_average,zeros,thirties,fifties,centries,home_innings,home_runs,home_not_out_count,home_average,total_home_ball_faced,home_strike_rate,home_zeros,home_30s,home_50s,home_100s,away_innings,away_runs,away_not_out_count,away_average,total_away_ball_faced,away_strike_rate,away_zeros,away_30s,away_50s,away_100s,form_innings,form_runs,recent_zeros,recent_30s,recent_50s,recent_100s,recent_not_outs,form_average,total_recent_ball_faced,form_strike_rate
0,JE Root,787,26,631,124.7226624405705,7,41.42105263157895,1,8,4,0,10.0,257.0,3.0,36.714285714285715,201.0,127.86069651741293,1.0,1.0,2.0,0.0,16.0,530.0,4.0,44.16666666666666,430.0,123.25581395348836,0.0,7.0,2.0,0.0,10.0,274.0,1.0,4.0,1.0,0.0,3.0,39.142857142857146,248.0,110.48387096774192
1,MJ Swepson,3,1,4,75.0,1,inf,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,4.0,75.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,75.0
2,KJ Coetzer,845,33,663,127.45098039215686,1,26.40625,2,13,3,0,2.0,32.0,0.0,16.0,25.0,128.0,0.0,1.0,0.0,0.0,31.0,813.0,1.0,27.1,638.0,127.4294670846395,2.0,12.0,3.0,0.0,10.0,285.0,0.0,5.0,1.0,0.0,0.0,28.5,207.0,137.68115942028984
3,Mehran Khan,71,8,64,110.9375,2,11.833333333333336,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,71.0,2.0,11.833333333333336,64.0,110.9375,0.0,0.0,0.0,0.0,8.0,71.0,0.0,0.0,0.0,0.0,2.0,11.833333333333336,64.0,110.9375
4,Soumya Sarkar,718,40,611,117.51227495908348,2,18.894736842105264,5,9,1,0,16.0,321.0,1.0,21.4,265.0,121.13207547169813,2.0,4.0,1.0,0.0,24.0,397.0,1.0,17.26086956521739,346.0,114.7398843930636,3.0,5.0,0.0,0.0,10.0,94.0,1.0,1.0,0.0,0.0,1.0,10.444444444444443,98.0,95.91836734693878
5,E Chigumbura,755,47,549,137.52276867030966,10,20.405405405405407,6,7,3,0,21.0,342.0,4.0,20.11764705882353,275.0,124.36363636363636,0.0,4.0,1.0,0.0,26.0,413.0,6.0,20.65,274.0,150.7299270072993,6.0,3.0,2.0,0.0,10.0,122.0,1.0,0.0,1.0,0.0,2.0,15.25,112.0,108.92857142857143
6,E Lewis,637,20,411,154.98783454987836,1,33.526315789473685,1,0,4,2,9.0,308.0,1.0,38.5,219.0,140.63926940639269,0.0,0.0,1.0,1.0,11.0,329.0,0.0,29.90909090909091,192.0,171.35416666666666,1.0,0.0,3.0,1.0,10.0,389.0,0.0,0.0,3.0,1.0,1.0,43.22222222222222,246.0,158.130081300813
7,H Klaasen,144,6,88,163.63636363636363,0,24.0,0,0,1,0,3.0,92.0,0.0,30.66666666666667,50.0,184.0,0.0,0.0,1.0,0.0,3.0,52.0,0.0,17.333333333333332,38.0,136.8421052631579,0.0,0.0,0.0,0.0,6.0,144.0,0.0,0.0,1.0,0.0,0.0,24.0,88.0,163.63636363636363
8,Shaiman Anwar,788,27,675,116.74074074074076,3,32.833333333333336,1,8,4,1,14.0,510.0,1.0,39.230769230769226,416.0,122.59615384615385,1.0,3.0,4.0,1.0,13.0,278.0,2.0,25.272727272727273,259.0,107.33590733590735,0.0,5.0,0.0,0.0,10.0,448.0,0.0,4.0,3.0,1.0,2.0,56.0,374.0,119.78609625668447
9,SJ Myburgh,537,24,441,121.76870748299321,2,24.40909090909091,4,3,4,0,1.0,71.0,1.0,0.0,57.0,124.56140350877192,0.0,0.0,1.0,0.0,23.0,466.0,1.0,21.181818181818183,384.0,121.35416666666669,4.0,3.0,3.0,0.0,10.0,235.0,0.0,2.0,1.0,0.0,1.0,26.11111111111111,196.0,119.89795918367346
10,MJ Santner,170,17,137,124.08759124087594,6,15.454545454545455,2,1,0,0,9.0,101.0,4.0,20.2,72.0,140.27777777777777,2.0,1.0,0.0,0.0,8.0,69.0,2.0,11.5,65.0,106.15384615384615,0.0,0.0,0.0,0.0,10.0,130.0,1.0,1.0,0.0,0.0,5.0,26.0,87.0,149.42528735632186
