ID,venue
1,County Ground
2,Eden Park
3,Westpac Stadium
4,"Brisbane Cricket Ground, Woolloongabba"
5,New Wanderers Stadium
6,The Rose Bowl
7,Newlands
8,Gymkhana Club Ground
9,Kennington Oval
10,Kingsmead
11,Sydney Cricket Ground
12,Melbourne Cricket Ground
13,St George's Park
14,Jade Stadium
15,Brabourne Stadium
16,Western Australia Cricket Association Ground
17,AMI Stadium
18,SuperSport Park
19,"Civil Service Cricket Club, Stormont"
20,Old Trafford
21,"Kensington Oval, Bridgetown"
22,Seddon Park
23,Maple Leaf North-West Ground
24,National Stadium
25,R Premadasa Stadium
26,"Queen's Park Oval, Port of Spain"
27,Lord's
28,Dubai International Cricket Stadium
29,Trent Bridge
30,"Warner Park, Basseterre"
31,"Vidarbha Cricket Association Stadium, Jamtha"
32,"Punjab Cricket Association Stadium, Mohali"
33,Bellerive Oval
34,"Beausejour Stadium, Gros Islet"
35,Providence Stadium
36,"Sir Vivian Richards Stadium, North Sound"
37,Central Broward Regional Park Stadium Turf Ground
38,Sheikh Zayed Stadium
39,OUTsurance Oval
40,De Beers Diamond Oval
41,Sophia Gardens
42,Adelaide Oval
43,Edgbaston
44,Harare Sports Club
45,Moses Mabhida Stadium
46,Eden Gardens
47,Pallekele International Cricket Stadium
48,Shere Bangla National Stadium
49,Mombasa Sports Club Ground
50,Stadium Australia
51,ICC Global Cricket Academy
52,Sportpark Westvliet
53,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa"
54,Riverside Ground
55,"MA Chidambaram Stadium, Chepauk"
56,Subrata Roy Sahara Stadium
57,M Chinnaswamy Stadium
58,Wankhede Stadium
59,"Sardar Patel Stadium, Motera"
60,Buffalo Park
61,Queens Sports Club
62,Sharjah Cricket Stadium
63,Wanderers Cricket Ground
64,"Arnos Vale Ground, Kingstown"
65,ICC Academy
66,Saurashtra Cricket Association Stadium
67,Sylhet Stadium
68,Zahur Ahmed Chowdhury Stadium
69,"Sabina Park, Kingston"
70,"Windsor Park, Roseau"
71,Gaddafi Stadium
72,Hazelaarweg
73,"Bready Cricket Club, Magheramason"
74,VRA Ground
75,P Sara Oval
76,"The Village, Malahide"
77,"Grange Cricket Club Ground, Raeburn Place"
78,Barabati Stadium
79,Himachal Pradesh Cricket Association Stadium
80,Clontarf Cricket Club Ground
81,Bay Oval
82,Sheikh Abu Naser Stadium
83,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
84,"Mission Road Ground, Mong Kok"
85,Tony Ireland Stadium
86,JSCA International Stadium Complex
87,Maharashtra Cricket Association Stadium
88,Khan Shaheb Osman Ali Stadium
89,Feroz Shah Kotla
90,"Punjab Cricket Association IS Bindra Stadium, Mohali"
91,McLean Park
92,Green Park
93,Greater Noida Sports Complex Ground
94,"Simonds Stadium, South Geelong"
95,King George V Sports Ground
96,Kinrara Academy Oval
97,College Field
98,Kyambogo Cricket Oval
99,Indian Association Ground
100,Bready
101,"Providence Stadium, Guyana"
102,"White Hill Field, Sandys Parish"
103,Bermuda National Stadium
104,United Cricket Club Ground
105,Sportpark Maarschalkerweerd
106,Lugogo Cricket Oval
107,"Shere Bangla National Stadium, Mirpur"
108,M.Chinnaswamy Stadium
109,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1)
110,ICC Academy Ground No 2
111,Tolerance Oval
112,La Manga Club Bottom Ground
113,Manuka Oval
114,Arun Jaitley Stadium
115,Saxton Oval
116,Hagley Oval
117,Tribhuvan University International Cricket Ground
118,"Rajiv Gandhi International Stadium, Uppal"
119,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium
120,Perth Stadium
121,The Wanderers Stadium
122,Greenfield International Stadium
123,"Warner Park, St Kitts"
124,Amini Park
125,"Darren Sammy National Cricket Stadium, St Lucia"
126,Holkar Cricket Stadium
127,"National Cricket Stadium, Grenada"
128,Terdthai Cricket Ground
129,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2)
130,"Rajiv Gandhi International Cricket Stadium, Dehradun"
131,Desert Springs Cricket Ground
132,Sylhet International Cricket Stadium
133,"Grange Cricket Club, Raeburn Place"
134,"R.Premadasa Stadium, Khettarama"
135,Rajiv Gandhi International Cricket Stadium
136,Sportpark Het Schootsveld
137,Senwes Park
138,Carrara Oval
139,Barsapara Cricket Stadium
140,Mangaung Oval
141,Pierre Werner Cricket Ground
142,Moara Vlasiei Cricket Ground
143,Rawalpindi Cricket Stadium
144,Boland Park
145,Narendra Modi Stadium
146,"Coolidge Cricket Ground, Antigua"
147,Sky Stadium
148,University Oval
149,"Wanderers Cricket Ground, Windhoek"
150,Wanderers
